username,address,publicKey,balance
acheng_vote2,13365605075585683532X,d5f18c14ebc89e94a6c5db783bc642506364644eaf556eb4ba54748bafc0a760,5006442000000
,9139865632209260227X,1d8f0f277d6f422c0b2dc4e4d65f7d8eb914eebfc4ba9323316a33f63c7f7e71,5006742000000
,6639372724726274470X,66c991417afae4b4fc0e6a7d05a9c5665fff2d112e322113418832794b8cbdb3,5007142000000
,12098183757939662757X,ce3983d9b814699aa2951d83f3351ec5ffe818971bf8dd8b818acb3696a23dba,5007177607309
sam_voter_b,16666776262434893306X,1765f5e9c63a2a060064f129353b62e272559509acabfed3ab7566140f5b812c,5007642000000
hong.vote,6419776946404684012X,bb838c1cec3bba3b2b2f527eb5ebd4ae4c2b21695507de45acc147d1601a1084,5007824000000
arron_vote_b,10656755987484507168X,03aa6350fa6379c4b1f8a1d936365a3fe9b66ecb605451bee786579dfba1552f,5008402000000
yillusion_vote,4003172140738129896X,d993a4c8fc3ff6c24451fbeaeaf9a5f3583d6e33f477a91fdc75519526ecae72,5008452000000
yuandian.vote.b,12853410601361141106X,88c906072f6d361713480ebd8b1f3f2af721e02dc215a4c54afc0bfa3bbc42e2,5008600000000
khitan_vote_b,772540770889515854X,9248199bd465167c2ef470861fd65b5217b21a59a6ce44bb6160e2b2955e68ae,5008712000000
sunny_vote,4114062150027986815X,ca2fe68f4c67778a4a298294a85896f5c40a0cc8aa772a63120f353c5b803cd0,5009742000000
arya_vote_b,16687099583315351132X,3de5c0602753bec0c51321149211d3f61533fbb30d942970d283db96e497eaef,5010042000000
grajson_vote_b,6808004289864005828X,c3eab5a405d98c186df7d42e0bc1dfc7814a473d6ff1771ea59f06f771c22eb2,5010252000000
nightmare_vote_b,2724013551401023733X,7a8f89bcaaa37cf532d402b0b6f818b95e424008907dbb43256aa86bfe3f0c2b,5010482000000
alisa_vote_b,7285206565796621921X,5e35733caac669d742aa3c5905f265db03248cbbc65d867e11162f86c1af00c4,5010542000000
loveforever_voting2,10102454514566392170X,f7cb27f2b8424012bab92e338c923a6e9946089001cd80713016529b632bf53e,5016342000000
liming_vote_b,13560514093687180871X,840117622ab490ecb5b747efd1fd5720d23bbf3986bafa7cc9b9865258f67f1e,5016442000000
bitman_voteb,13057673195770438406X,7c5f61b73d8a16ab761044e5f19a56e52c179ee5323ec19ffbda4f51d0c5509c,5022542000000
hanlie4vote,16989846913011884948X,45051078c2ee88350fb8a3225aedc5192689e97ddc95c4e1b6bdae05594bc414,5027042000000
lbe,11716016081263248945X,317c1c5dceff5de5b5f4f438af16cf1e7797908b4beb8821e3f07fa07f0d6816,5027306825697
broydog_votes2,18050488275946723195X,cbced906dcd30ac4641d72140688b8122eee4b12dc4296e5e750d38c95b0e7d6,5031722000000
,12955163745858778878X,35a262c552deb9872be16cbdbd1a16a45bb93da28f1e9c40953e62e8a3635966,5039852000000
mysoul.voteb,5194220816395499590X,16426796ec7e2feace0c6db9c8cd3da0c4e71a58987ce299379ca29d95cec1f2,5048352000000
rooney_vote,17746873332129092957X,66279a9c87cc781704052375cdb0a71171927d0623c72f303b1def8927d0f7f2,5055842000000
,11125729922277320939X,f6bcfd42ff1fc2d8095007b06f2989cb567c83c60aedf55c756a118a19ef6d07,5064132000000
brianbrian_vote_2,8881516655830283509X,b4202223578d1856331ad9824ca5c6f30c475c9d9592818e8da6c5ad2313459d,5067342000000
efebmx_b,13764390285314895762X,2de7429f7bc118f7716fe80fcce7e8c9e37a750d40e4b8107760180171570c1e,5076842000000
mrgr_b,5300480349414272336X,4c16f1c281cc731e07f3e8d9c4db89473fb06f61f11917de067ca7e347be8773,5111642000000
nvx.2,11570662866241196718X,4d4e0a10d4148be973ef274c15bf1c26dcd1cc067571884beda4d7b5e6646fae,5125862000000
kammer_b,14712826763059851727X,60bef22209aae2486fb322e51d97502429dc57fe9f444fba5f14b100b8d75fae,5142932000000
drken_votes_b,17763597984489206539X,cf33985c769c27accb56ff3ddc2d6098b9e639c1bb522f9afec7ecd2167898b6,5143800000000
bigtom_b,10401832192299776620X,a65ea8783bf90992c7b64aced2c746db5b31afdb04b9bbff698f0e8a4c0e130f,5180142000000
freewind,3014686961111734937X,484a39961d321a989b8f6ed105146e8db53c62cc4be67cc833a15824c25e16f0,5183151800879
hunnan,13101171767813649895X,4b9c65a97bfc76b058d50a95dc618ccd43b36f6bd41b128d43dbac529357b0a0,5237841751263
,13676777045705217652X,fef1adf08ddfb6ea35a241da14bc11f04ff8b0fdd1144a82bbdc530e158b7cff,5245157161146
backer_vote,3100508110075393653X,465845feba104863c7faa2e62951485d46303d5f258bc7bc24fcb9317a613ad4,5266342000000
liaoning,9936351111300240556X,fd30a35515785a01028dc8bf242f7bff390954a2ab163901921fcae41c69b2f7,5287712348064
aacftp_b,17321576332937901587X,727927af6081ab0dbd3df4e80d901cba54a920bfb66a43224e6ac1e1f5aabc3b,6007562000000
cosmo_voting_b,2980226071584092863X,4f2ac3337d2c7b089a9d44fab303839ece13486d1839fcaa6245ea460a287acd,6010262000000
bartholo_b,14499666319605423571X,e58cb682f67828c47c27db3b9c4ba28329e8ee4b400b3b5cb2fcf061cffb185f,6011362000000
adrianhunter_votes2,9807446678728916777X,cbcccea2eb1168b99e4b5545c30a3e04beb3f313c4988bb11f073c2d1752ebf4,6067224000000
,4798266318097780569X,df1acf4d70a1759ca9799b48ae0135784bc9034cd74a4e714f71cd43441fa34a,6171229370433
goodtimes_vote2,11123489917674782538X,71904305bcca3f5e7b57f7845f16a0e7514d0ed870dae8d99e25846499fb5ba2,6207752000000
lsy,9923801025667706677X,73a17a9a12ed08e3e83db4be3c345f60e4c05544bd66805cb24b4c94f793e9e1,6316730084637
,11433872894242345693X,9bb5557aeff3eb3603c65c6c6f8dfde4608d942297d1a3456027f6f63d0d0408,6509272427238
eastwind_ja@voter_b,8764008754169229790X,77017aa2f7c47ad8a871d3010f3fa3f5404ea798cd99150a8905878f984cbd03,6509332000000
saglor,13735714874619163302X,a520f39b3b702757ebc4f189f49da52367b2460df8ac4dcf66bee6c47406fefd,6711222248569
,13195120320454077773X,fbb4538f36e25ecee2ea31927b109cdb26b530fa83c1430584472c113bbff2bb,6970829166342
,9281198022361760189X,17cac54e5011aad5b72a14a1f4d1f3791c29331bc03568c417feaee729d380ef,7133290000000
,6077231214934078653X,f799822675d89a60110a9acfe9a7e5df330278068943b90a7ea2d5299c5e3234,7169998532039
kc_voter_b,16223603058665070988X,42a1c4e21e5675693b4d19b05fec95439cbb26b279fba7188e43de5a5fa5f9f5,7175652000000
,6078704520581094628X,75b07d17b791e1fe0ab573ee406cc46a4862c744d7095f6ba2e51e25164b5481,7245166696201
crodam_b,10840343160648335685X,48c3175498fe983b57028e72188c7570578272bc04082cab5ce850e1d5faaf81,7508552000000
lfire444,15044234015011265210X,a7ec52753921f47a40ea3afbae1c8a79c3a683b88f99899bcb0943e083b9dc16,7680000291911
weioxy1111_vote,6916438458285671542X,f601d8f5e170048524abf3a1e4165db4e7c4ce557299c6a542909b22b0dd8cda,7800812000000
snatic,2776136348824278456X,fc9669c2d12d0650e377f1207f3cac26a8e820bee1be9ad64246e81332269586,7904253840694
ritz233,12932378203895688610X,acbc18cb64577d41a6e51531cb34d98aa229af75e0067b86444fbcafe02ce7ed,8005802748368
bubek_voting_b,8612603628850789646X,1d41716b3b528e43c0cae83e32bb93fe631cbb6a647872820ab0b2242bab6f52,8387452000000
